ID,condition,Ns1,Ns2,acc,M_rt,a,z,v1,v2,t0,converge,-LLE,AIC,BIC,sep,p.acc,p.M_rt,p.a,p.z,p.v1,p.v2,p.t0,p.convergence,p.converge
153432,low_1,40,20,0.9333333333333333,0.49961666666666665,1.1979359309449087,0.42255993593680824,-2.7676804738051524,2.0783417906083,0.29231556667527536,0,-34.65083918576718,-59.301678371534365,-48.82995556042386,NA,0.9833333333333333,0.48444419402878663,1.3325948934007315,0.30416043415816857,-3.5037283442896596,2.565094479738278,0.2873326877010989,NA,0
153432,high_1,40,20,0.8666666666666667,0.46148333333333336,0.923949728859561,0.5716013868638049,-2.795563429138686,1.3206951349412117,0.30989145079251423,0,-43.13268696471471,-76.26537392942942,-65.7936511183189,NA,0.75,0.47538200940978925,0.8744378321498318,0.6152255689157251,-1.5845779350847526,0.9933173819700041,0.3071003599895742,NA,0
179038,low_0,40,20,0.95,0.94555,2.200032911173646,0.24000846856129637,-1.878697348684423,1.4922815708977681,0.37008368409086867,0,20.799287203813698,51.598574407627396,62.0702972187379,NA,0.95,0.8707382911089283,2.657903562176868,0.06784967332042569,-1.9571700457689123,1.8462915549282757,0.38621054576658387,NA,0
179038,high_0,40,20,0.8333333333333334,0.9231666666666667,1.5829271629068478,0.34763582659716064,-1.3990885233172967,0.6566851655094378,0.4419805856090909,0,31.15684383682177,72.31368767364354,82.78541048475404,NA,0.8333333333333334,0.8307040004986662,1.6000046766232903,0.2135721323229418,-1.3283614074331505,0.8464008950683856,0.43363197267312115,NA,0
179038,low_1,40,20,1,0.7092666666666667,2.3527382685695923,0.20392554945453426,-2.861610955328983,3.3986514550899116,0.32640717309169,0,-21.454079957183094,-32.90815991436619,-22.436437103255685,NA,0.9833333333333333,0.5941474406159108,2.0804765294015484,0.09533009901430665,-2.679719418948486,3.297559912488248,0.33341107232982725,NA,0
179038,high_1,40,20,0.8166666666666667,0.9996333333333334,1.8133062740870247,0.3361329041791066,-1.4509216658767121,0.11548492410267719,0.36456194268949504,0,47.02338527383722,104.04677054767444,114.51849335878495,NA,0.7833333333333333,0.8445943290809961,1.7791797798488846,0.18901001731392228,-1.9194921715230184,0.140634665357664,0.3836817385618881,NA,0
234510,low_0,40,20,0.9333333333333333,0.8409,1.8272296032141853,0.3698263691105441,-2.4346862551316706,0.7941909529827724,0.38170065186571545,0,10.265573833446469,30.531147666892938,41.002870478003445,NA,0.8666666666666667,0.8932336062186695,2.0553994015779145,0.17567458309616313,-2.534691512457308,0.48447128705200854,0.3602787427485818,NA,0
234510,high_0,40,20,0.9333333333333333,0.8469,1.6805854373268787,0.252537964002849,-1.6409501991446789,1.8903564336803873,0.4503394180630723,0,6.0777192442919254,22.15543848858385,32.62716129969435,NA,0.9,0.7722152457652339,1.9163376445853595,0.11528444871724332,-1.6131761425858542,1.959559750060953,0.4410370964742928,NA,0
234510,low_1,40,20,0.95,0.7535833333333334,1.5271977242847645,0.34875145871893437,-2.25605859930648,1.7129018130485218,0.41558997302022566,0,-7.039324953528329,-4.078649907056658,6.393072904053845,NA,0.95,0.6837929329898353,1.421263592715163,0.26097112690810736,-2.669943919366518,1.8907068110794567,0.4321659628654827,NA,0
234510,high_1,40,20,0.8666666666666667,0.7295333333333334,1.6781734045864765,0.3104328687208972,-1.6896983210063166,0.669609723592813,0.26813340317739537,0,21.20457757066836,52.40915514133672,62.88087795244722,NA,0.85,0.6686497638294406,1.6196420047977031,0.1587273804510487,-1.2844776340566177,0.9977495943082034,0.287889147102358,NA,0
236546,low_0,40,20,0.9666666666666667,0.5729,1.4028757091626007,0.48896124754162795,-3.416913039029967,1.4315216444367556,0.31521273586525467,0,-30.38687566282469,-50.77375132564938,-40.302028514538875,NA,0.9666666666666667,0.5728292673384792,1.3436440541138146,0.3664234254373721,-3.8353452886134534,1.4221465420597577,0.32947629073902385,NA,0
236546,high_0,40,20,0.9666666666666667,0.5218833333333334,1.2432651343817778,0.5029634632693825,-3.3266987451427465,2.417881243459448,0.31667519954120166,0,-42.62123331180172,-75.24246662360343,-64.77074381249292,NA,0.95,0.5133914601162293,1.1099967869908556,0.4864647412596284,-3.4553611750775675,1.7499728293474128,0.3322019772983318,NA,0
236546,low_1,40,20,0.9833333333333333,0.5085833333333333,1.330104222563264,0.4264054317426093,-3.563999686341168,3.720818801219841,0.3221084463015768,0,-55.33989364327222,-100.67978728654444,-90.20806447543393,NA,1,0.4721265324563179,1.25646720854489,0.33501978419985956,-4.164833247555913,3.894840795293593,0.3251989159315394,NA,0
236546,high_1,39,20,0.8983050847457628,0.5977796610169491,1.264141685912994,0.5128079383966574,-2.5117761573965085,0.8405516651944578,0.32179765489009377,0,-11.704337279847067,-13.408674559694134,-3.0209873401655365,NA,0.847457627118644,0.623227694127384,1.323895400540143,0.30249446939290203,-1.9862124705979658,0.7162380289518528,0.333053401604679,NA,0
246614,low_0,39,20,0.9322033898305084,0.6720169491525424,1.4722577579983567,0.344745246682811,-1.9757003238768713,1.4959284200744596,0.3203829886701554,0,0.1586122561364962,10.317224512272993,20.70491173180159,NA,0.9491525423728814,0.6567374842352659,1.5535920589504633,0.23842144968555315,-2.049207024217936,1.6851538404883613,0.31847607334294786,NA,0
246614,high_0,40,20,0.8166666666666667,1.02845,1.870084398868067,0.31180528986321115,-1.3837470525476534,0.29023031207044103,0.36346199145319125,0,49.92010699531507,109.84021399063013,120.31193680174064,NA,0.75,0.9391298523667841,2.024324701011133,0.16554048671907068,-1.7496203767764977,-0.0702967399570933,0.36237066359379955,NA,0
246614,low_1,40,20,0.9833333333333333,0.5750666666666666,1.3198052278006136,0.41759612494297926,-3.149905963845568,2.2032350148973867,0.34148814881268663,0,-36.021959863895084,-62.04391972779017,-51.572196916679665,NA,0.9833333333333333,0.5454263653903707,1.4799903065306572,0.21260246856541629,-3.029448972046977,3.559078805523859,0.35487407653961045,NA,0
246614,high_1,40,20,0.95,0.7340333333333333,1.4526627568852866,0.3762882797193877,-2.442883707311324,1.3877182951198879,0.4040113703247642,0,-7.769699758802633,-5.539399517605267,4.932323293505236,NA,0.9666666666666667,0.6907186629845967,1.5344923538682733,0.23044293185300282,-2.7585298303871424,1.8792204789471565,0.40651592138509085,NA,0
336869,low_0,40,20,1,0.3817833333333333,0.9681810288161039,0.4742402141478511,-5.292042878530562,4.037511012420412,0.2858542959482737,0,-96.01339856119695,-182.0267971223939,-171.5550743112834,NA,0.9833333333333333,0.38840555460817233,1.060740501584124,0.2818757323272882,-3.3737368910400125,6.215538671073784,0.2931305826888231,NA,0
336869,high_0,40,20,0.95,0.6045833333333334,1.4737554954249166,0.36511589993490545,-2.235428350902226,1.3479611266494422,0.2544317437773512,0,-3.2906090882236203,3.4187818235527594,13.890504634663262,NA,0.9333333333333333,0.5736242394449248,1.6476839767995741,0.1631901500987336,-2.0376498765824564,1.652699389436847,0.25211274059835925,NA,0
336869,low_1,40,20,0.9666666666666667,0.43465,1.4561559106417583,0.3707421386307381,-4.092700310279346,2.4749972828745674,0.23597126912495547,0,-51.75265780373122,-93.50531560746244,-83.03359279635194,NA,0.9833333333333333,0.4276754271262241,1.4186997668007892,0.22331970065484896,-3.312879845702316,3.060131217729595,0.23937941614737523,NA,0
336869,high_1,40,20,0.9333333333333333,0.5412166666666667,1.2304844742189978,0.43625995543329704,-2.7245946654512605,1.178834319340791,0.28798871949667854,0,-21.216354982046777,-32.432709964093554,-21.96098715298305,NA,0.8833333333333333,0.5440415837229727,1.222293765474124,0.3639449055086005,-2.5356494900630557,0.9411479088543185,0.28517008404793776,NA,0
380897,low_0,40,20,0.95,0.7149,1.6152014195869397,0.38951383226160546,-2.2652949318159727,1.5106821782567188,0.325288856322946,0,1.054771355595998,12.109542711191995,22.5812655223025,NA,0.9666666666666667,0.6989282653166516,1.7287555123274356,0.24704402478928741,-2.3212218146961883,1.6372693911941365,0.31522361119698844,NA,0
380897,high_0,40,20,0.9333333333333333,0.71035,1.706928575172141,0.42956191662984994,-3.3910157227068276,0.48739236575485534,0.3363587430167846,0,-7.487477333876601,-4.974954667753202,5.496768143357301,NA,0.9166666666666666,0.7162407982914932,1.8585683679838128,0.23024273860559835,-3.5912550619592065,0.8213487721699347,0.32566244198733124,NA,0
380897,low_1,40,20,0.9166666666666666,0.56155,1.1834801485784414,0.4887521553671604,-2.590979482813771,1.2795881671488392,0.31697262373970325,0,-19.39054391857426,-28.78108783714852,-18.309365026038016,NA,0.8833333333333333,0.522983161102476,1.0820296609695434,0.415670960233205,-2.366582810208382,1.3919736554071676,0.312650562326908,NA,0
