"ID","CL","Evaluation","block","trial_block","Errors","RT_Raw","cER","oER","Errors_cw","cER_cw","oER_cw","RT_cw","CL_evaluation","Mental","Temporal","Performance","Effort","Frustration","Eustress","Distress","NASA_TLX","Eustress_cw","Distress_cw","NASA_TLX_cw","Mental_cw","Temporal_cw","Performance_cw","Effort_cw","Frustration_cw","ratio"
179038,"low","0","1",0,0,1.0153,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.348535391288298,"low_0",5,6,6,5,5,2.6,1.8,4.6,-0.481,-0.481,0.153,-0.041,1.483,1.674,-0.029,1.029,1.44444444444444
234510,"low","0","1",0,0,0.7099,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.0431353912882982,"low_0",4,5,6,4,2,4,1.8,3.4,0.919,-0.481,-1.047,-1.041,0.483,1.674,-1.029,-1.971,2.22222222222222
236546,"low","0","1",0,0,0.4842,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.182564608711702,"low_0",5,4,6,5,3,4,1.8,3.8,0.919,-0.481,-0.647,-0.041,-0.517,1.674,-0.029,-0.971,2.22222222222222
246614,"low","0","1",0,0,0.5786,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.0881646087117017,"low_0",5,5,3,5,4,2.6,1.8,4.8,-0.481,-0.481,0.353,-0.041,0.483,-1.326,-0.029,0.029,1.44444444444444
336869,"low","0","1",0,0,0.3893,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.277464608711702,"low_0",5,4,7,6,2,2.8,1.6,3.6,-0.281,-0.681,-0.847,-0.041,-0.517,2.674,0.971,-1.971,1.75
380897,"low","0","1",0,0,0.5292,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.137564608711702,"low_0",4,3,6,3,2,4.2,2.2,2.8,1.119,-0.081,-1.647,-1.041,-1.517,1.674,-2.029,-1.971,1.90909090909091
425829,"low","0","1",0,0,0.558,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.108764608711702,"low_0",6,2,7,5,1,2.6,1,3,-0.481,-1.281,-1.447,0.959,-2.517,2.674,-0.029,-2.971,2.6
440557,"low","0","1",0,0,0.5058,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.160964608711702,"low_0",4,5,6,3,2,4.8,1,3.2,1.719,-1.281,-1.247,-1.041,0.483,1.674,-2.029,-1.971,4.8
465464,"low","0","1",0,0,0.5786,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.0881646087117017,"low_0",4,5,7,6,1,3.8,1.2,3.4,0.719,-1.081,-1.047,-1.041,0.483,2.674,0.971,-2.971,3.16666666666667
491926,"low","0","1",0,1,0.5818,1,0,-0.156007751937985,-0.0881782945736433,-0.0678294573643411,-0.0849646087117018,"low_0",4,5,5,4,2,2.2,1.4,3.6,-0.881,-0.881,-0.847,-1.041,0.483,0.674,-1.029,-1.971,1.57142857142857
511327,"low","0","1",0,0,0.8194,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.152635391288298,"low_0",5,4,5,6,5,2,1.6,4.6,-1.081,-0.681,0.153,-0.041,-0.517,0.674,0.971,1.029,1.25
588210,"low","0","1",0,0,0.4403,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.226464608711702,"low_0",5,2,6,5,2,4.4,1.6,3.2,1.319,-0.681,-1.247,-0.041,-2.517,1.674,-0.029,-1.971,2.75
620017,"low","0","1",0,0,0.7223,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.0555353912882983,"low_0",3,2,6,3,1,2.8,1.2,2.2,-0.281,-1.081,-2.247,-2.041,-2.517,1.674,-2.029,-2.971,2.33333333333333
648090,"low","0","1",0,0,0.7365,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.0697353912882983,"low_0",2,6,6,2,2,4,2.4,2.8,0.919,0.119,-1.647,-3.041,1.483,1.674,-3.029,-1.971,1.66666666666667
69369,"low","0","1",0,0,0.9909,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.324135391288298,"low_0",4,3,5,3,4,3.4,2.2,3.4,0.319,-0.081,-1.047,-1.041,-1.517,0.674,-2.029,0.029,1.54545454545455
695008,"low","0","1",0,2,0.4677,2,0,0.843992248062015,0.911821705426357,-0.0678294573643411,-0.199064608711702,"low_0",5,5,5,4,5,2.6,2.6,4.4,-0.481,0.319,-0.047,-0.041,0.483,0.674,-1.029,1.029,1
719844,"low","0","1",0,0,0.4005,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.266264608711702,"low_0",3,4,3,4,5,3.4,1.8,4.2,0.319,-0.481,-0.247,-2.041,-0.517,-1.326,-1.029,1.029,1.88888888888889
727655,"low","0","1",0,0,0.4724,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.194364608711702,"low_0",4,2,5,5,4,3.4,1.4,3.6,0.319,-0.881,-0.847,-1.041,-2.517,0.674,-0.029,0.029,2.42857142857143
729105,"low","0","1",0,0,0.7679,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.101135391288298,"low_0",5,4,7,4,2,5,1,3.2,1.919,-1.281,-1.247,-0.041,-0.517,2.674,-1.029,-1.971,5
765713,"low","0","1",0,0,0.6529,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.0138646087117017,"low_0",5,7,5,6,3,4.2,1.4,4.8,1.119,-0.881,0.353,-0.041,2.483,0.674,0.971,-0.971,3
785962,"low","0","1",0,0,0.5913,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.0754646087117017,"low_0",4,5,5,4,3,3.2,1.8,3.8,0.119,-0.481,-0.647,-1.041,0.483,0.674,-1.029,-0.971,1.77777777777778
792672,"low","0","1",0,0,0.8438,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.177035391288298,"low_0",3,3,6,3,1,1.6,1.2,2.4,-1.481,-1.081,-2.047,-2.041,-1.517,1.674,-2.029,-2.971,1.33333333333333
837706,"low","0","1",0,0,0.4191,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.247664608711702,"low_0",4,5,5,4,2,4,2.2,3.6,0.919,-0.081,-0.847,-1.041,0.483,0.674,-1.029,-1.971,1.81818181818182
848371,"low","0","1",0,1,0.489,1,0,-0.156007751937985,-0.0881782945736433,-0.0678294573643411,-0.177764608711702,"low_0",5,3,5,6,1,3.8,1.2,3.6,0.719,-1.081,-0.847,-0.041,-1.517,0.674,0.971,-2.971,3.16666666666667
878863,"low","0","1",0,1,0.6689,1,0,-0.156007751937985,-0.0881782945736433,-0.0678294573643411,0.00213539128829832,"low_0",5,5,3,3,6,1.4,2.8,4.8,-1.681,0.519,0.353,-0.041,0.483,-1.326,-2.029,2.029,0.5
894278,"low","0","1",0,0,0.681,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.0142353912882983,"low_0",4,4,5,4,4,3.2,2.4,3.8,0.119,0.119,-0.647,-1.041,-0.517,0.674,-1.029,0.029,1.33333333333333
905693,"low","0","1",0,0,0.5559,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.110864608711702,"low_0",4,3,2,4,5,1.4,3.6,4.4,-1.681,1.319,-0.047,-1.041,-1.517,-2.326,-1.029,1.029,0.388888888888889
908702,"low","0","1",0,0,0.7345,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.0677353912882982,"low_0",4,4,6,4,2,4.4,2.2,3.2,1.319,-0.081,-1.247,-1.041,-0.517,1.674,-1.029,-1.971,2
93756,"low","0","1",0,0,0.4718,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.194964608711702,"low_0",6,5,5,6,3,3.8,1.6,4.6,0.719,-0.681,0.153,0.959,0.483,0.674,0.971,-0.971,2.375
957176,"low","0","1",0,2,0.623625,0,2,0.843992248062015,-1.08817829457364,1.93217054263566,-0.0431396087117017,"low_0",3,4,6,3,3,4,1.2,3,0.919,-1.081,-1.447,-2.041,-0.517,1.674,-2.029,-0.971,3.33333333333333
977604,"low","0","1",0,0,0.5736,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.0931646087117017,"low_0",5,5,4,5,5,2.6,2.8,4.8,-0.481,0.519,0.353,-0.041,0.483,-0.326,-0.029,1.029,0.928571428571429
990692,"low","0","1",0,0,0.4639,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.202864608711702,"low_0",6,5,6,5,4,3.8,1.4,4.4,0.719,-0.881,-0.047,0.959,0.483,1.674,-0.029,0.029,2.71428571428571
7410,"high","1","1",0,6,0.8805,6,0,4.84399224806202,4.91182170542636,-0.0678294573643411,0.213735391288298,"high_1",3,2,4,4,2,3.4,1.2,3,0.319,-1.081,-1.447,-2.041,-2.517,-0.326,-1.029,-1.971,2.83333333333333
17709,"high","1","1",0,4,0.549,4,0,2.84399224806202,2.91182170542636,-0.0678294573643411,-0.117764608711702,"high_1",7,6,4,7,5,2.6,3.2,5.8,-0.481,0.919,1.353,1.959,1.483,-0.326,1.971,1.029,0.8125
17824,"high","1","1",0,2,0.7085,2,0,0.843992248062015,0.911821705426357,-0.0678294573643411,0.0417353912882983,"high_1",5,4,4,6,4,4,1.8,4.6,0.919,-0.481,0.153,-0.041,-0.517,-0.326,0.971,0.029,2.22222222222222
40122,"high","1","1",0,4,0.50525,2,2,2.84399224806202,0.911821705426357,1.93217054263566,-0.161514608711702,"high_1",5,5,3,5,6,3.2,2.8,5.2,0.119,0.519,0.753,-0.041,0.483,-1.326,-0.029,2.029,1.14285714285714
40710,"high","1","1",0,0,0.5873,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.0794646087117017,"high_1",5,5,6,5,3,4.4,2,4,1.319,-0.281,-0.447,-0.041,0.483,1.674,-0.029,-0.971,2.2
47751,"high","1","1",0,1,0.5655,1,0,-0.156007751937985,-0.0881782945736433,-0.0678294573643411,-0.101264608711702,"high_1",6,6,4,6,3,3.2,1.2,5,0.119,-1.081,0.553,0.959,1.483,-0.326,0.971,-0.971,2.66666666666667
82208,"high","1","1",0,3,0.8945,3,0,1.84399224806202,1.91182170542636,-0.0678294573643411,0.227735391288298,"high_1",7,5,3,6,6,3.4,3,5.8,0.319,0.719,1.353,1.959,0.483,-1.326,0.971,2.029,1.13333333333333
94065,"high","1","1",0,2,0.8067,2,0,0.843992248062015,0.911821705426357,-0.0678294573643411,0.139935391288298,"high_1",4,5,3,4,5,2,3.4,4.6,-1.081,1.119,0.153,-1.041,0.483,-1.326,-1.029,1.029,0.588235294117647
95172,"high","1","1",0,3,0.6186,3,0,1.84399224806202,1.91182170542636,-0.0678294573643411,-0.0481646087117017,"high_1",5,4,3,5,5,3.6,2,4.8,0.519,-0.281,0.353,-0.041,-0.517,-1.326,-0.029,1.029,1.8
121650,"high","1","1",0,3,0.859444444444444,2,1,1.84399224806202,0.911821705426357,0.932170542635659,0.192679835732743,"high_1",4,6,3,5,6,2.6,2.4,5.2,-0.481,0.119,0.753,-1.041,1.483,-1.326,-0.029,2.029,1.08333333333333
