52,-33,9
52,-34,9
52,-34,9
52,-33,9
52,-34,10
52,-34,9
51,-34,10
51,-33,10
51,-33,10
50,-33,10
50,-33,9
51,-33,11
51,-33,10
51,-34,9
52,-33,10
52,-34,10
52,-34,10
51,-33,10
50,-33,11
50,-34,10
50,-34,10
49,-35,11
50,-35,11
51,-35,11
51,-35,11
52,-34,12
52,-34,12
52,-34,12
52,-33,12
52,-33,13
52,-33,13
52,-32,13
51,-33,13
51,-33,13
51,-33,13
51,-33,13
51,-34,14
51,-35,13
50,-35,15
50,-34,15
50,-34,16
54,-34,19
50,-34,16
54,-35,16
49,-34,15
47,-33,15
45,-34,15
47,-34,16
50,-33,15
50,-33,15
51,-33,14
52,-33,14
52,-33,14
53,-33,14
50,-32,14
51,-32,14
51,-32,14
51,-33,13
52,-32,14
51,-33,14
51,-33,14
50,-33,13
50,-33,13
51,-33,13
51,-32,13
52,-33,13
52,-32,13
52,-32,13
51,-32,13
51,-32,13
52,-32,13
52,-31,14
52,-31,14
52,-31,14
52,-31,14
52,-31,14
52,-32,13
52,-32,14
52,-32,13
52,-32,14
51,-32,13
52,-32,13
51,-32,13
52,-31,13
50,-31,12
52,-32,12
53,-31,13
52,-31,11
52,-31,12
24,-79,-77
55,-31,12
55,-31,11
55,-30,12
59,-31,12
60,-29,12
49,-34,2
52,-30,10
52,-33,9
53,-31,8
52,-30,10
51,-30,13
52,-31,12
52,-31,12
52,-32,12
52,-32,12
52,-31,12
52,-31,13
52,-31,14
52,-31,14
52,-31,14
52,-31,14
52,-31,14
52,-32,13
52,-32,13
52,-32,13
52,-32,13
52,-31,13
52,-32,13
51,-32,13
52,-32,13
52,-31,13
52,-32,12
52,-32,13
52,-32,13
52,-33,13
52,-33,13
52,-33,13
52,-32,13
52,-32,12
51,-31,12
52,-31,12
52,-32,12
52,-32,12
52,-32,12
52,-31,12
52,-31,12
52,-31,13
52,-32,12
52,-31,12
52,-31,12
52,-31,11
52,-31,12
52,-31,11
52,-32,11
52,-32,11
52,-31,11
52,-31,11
52,-31,11
52,-31,11
52,-32,11
52,-32,12
52,-32,12
52,-31,12
52,-31,12
52,-31,13
54,-32,12
52,-32,12
52,-32,12
51,-33,10
52,-32,10
52,-32,12
52,-32,12
51,-32,13
51,-32,13
53,-32,13
53,-32,13
52,-32,13
51,-32,13
51,-32,13
52,-32,13
52,-32,12
52,-32,12
52,-32,12
52,-32,12
52,-32,12
52,-31,12
52,-31,12
52,-32,13
52,-32,12
52,-32,13
52,-31,12
52,-31,12
52,-31,13
52,-31,13
52,-31,12
52,-32,13
52,-32,13
52,-32,13
52,-32,13
52,-32,13
52,-31,13
52,-31,13
52,-31,13
52,-31,13
51,-31,13
51,-31,13
52,-31,13
52,-31,12
52,-31,12
52,-31,12
52,-31,12
52,-31,12
52,-31,13
52,-31,12
52,-31,13
52,-31,13
52,-31,13
52,-31,12
52,-31,13
52,-31,13
52,-31,13
52,-31,13
52,-31,12
52,-32,12
51,-32,11
54,-32,12
51,-31,11
50,-33,11
49,-33,10
